#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A962CC
#Date Time: 2020-01-30 19:07:46.865

Time (s),Voltage (V)
-0.04385,-154.3021662396781
-0.0438375,-154.6205492884971
-0.043825,-155.1299621666076
-0.0438125,-155.4483452154266
-0.0438,-155.7030516544819
-0.0437875,-156.0214347033009
-0.043775,-156.33981775212
-0.0437625,-156.658200800939
-0.04375,-156.9129072399942
-0.0437375,-157.2312902888133
-0.043725,-157.5496733376323
-0.0437125,-157.8680563864514
-0.0437,-158.1227628255066
-0.0436875,-158.313792654798
-0.043675,-158.6321757036171
-0.0436625,-158.9505587524361
-0.04365,-159.2689418012552
-0.0436375,-159.5236482403104
-0.043625,-159.9057078988933
-0.0436125,-160.2877675574761
-0.0436,-160.6698272160589
-0.0435875,-160.988210264878
-0.043575,-161.306593313697
-0.0435625,-161.4976231429885
-0.04355,-161.6249763625161
-0.0435375,-161.8796828015713
-0.043525,-162.0070360210989
-0.0435125,-162.1980658503904
-0.0435,-162.325419069918
-0.0434875,-162.4527722894456
-0.043475,-162.5801255089732
-0.0434625,-162.643802118737
-0.04345,-162.7711553382646
-0.0434375,-162.962185167556
-0.043425,-163.0895383870837
-0.0434125,-163.2168916066113
-0.0434,-163.3442448261389
-0.0433875,-163.5352746554303
-0.043375,-163.662627874958
-0.0433625,-163.7263044847218
-0.04335,-163.7899810944856
-0.0433375,-163.9173343140132
-0.043325,-163.981010923777
-0.0433125,-164.1720407530684
-0.0433,-164.1720407530684
-0.0432875,-164.1720407530684
-0.043275,-164.2357173628322
-0.0432625,-164.3630705823599
-0.04325,-164.4267471921237
-0.0432375,-164.4904238018875
-0.043225,-164.6814536311789
-0.0432125,-164.8724834604703
-0.0432,-164.9998366799979
-0.0431875,-165.1271898995256
-0.043175,-165.2545431190532
-0.0431625,-165.4455729483446
-0.04315,-165.5729261678722
-0.0431375,-165.636602777636
-0.043125,-165.7639559971637
-0.0431125,-165.8913092166912
-0.0431,-165.9549858264551
-0.0430875,-166.0823390459827
-0.043075,-166.0823390459827
-0.0430625,-166.1460156557465
-0.04305,-166.2096922655103
-0.0430375,-166.3370454850379
-0.043025,-166.4007220948017
-0.0430125,-166.5917519240932
-0.043,-166.7191051436208
-0.0429875,-166.9101349729122
-0.042975,-167.1011648022036
-0.0429625,-167.2285180217312
-0.04295,-167.2921946314951
-0.0429375,-167.4832244607865
-0.042925,-167.5469010705503
-0.0429125,-167.6742542900779
-0.0429,-167.6742542900779
-0.0428875,-167.8016075096055
-0.042875,-167.9289607291331
-0.0428625,-167.9289607291331
-0.04285,-167.9926373388969
-0.0428375,-168.1199905584245
-0.042825,-168.1836671681884
-0.0428125,-168.311020387716
-0.0428,-168.4383736072436
-0.0427875,-168.5657268267712
-0.042775,-168.6930800462989
-0.0427625,-168.8204332658264
-0.04275,-169.0114630951179
-0.0427375,-169.1388163146455
-0.042725,-169.2024929244093
-0.0427125,-169.2661695341731
-0.0427,-169.3935227537007
-0.0426875,-169.3935227537007
-0.042675,-169.4571993634645
-0.0426625,-169.5208759732284
-0.04265,-169.5845525829922
-0.0426375,-169.648229192756
-0.042625,-169.5845525829922
-0.0426125,-169.7755824122836
-0.0426,-169.966612241575
-0.0425875,-170.0302888513388
-0.042575,-170.0302888513388
-0.0425625,-170.2213186806302
-0.04255,-170.4123485099217
-0.0425375,-170.4123485099217
-0.042525,-170.4123485099217
-0.0425125,-170.6033783392131
-0.0425,-170.6670549489769
-0.0424875,-170.6033783392131
-0.042475,-170.6033783392131
-0.0424625,-170.6670549489769
-0.04245,-170.6033783392131
-0.0424375,-170.6033783392131
-0.042425,-170.6033783392131
-0.0424125,-170.6670549489769
-0.0424,-170.7307315587407
-0.0423875,-170.7944081685045
-0.042375,-170.8580847782683
-0.0423625,-170.9217613880321
-0.04235,-170.9217613880321
-0.0423375,-171.0491146075597
-0.042325,-170.985437997796
-0.0423125,-170.985437997796
-0.0423,-170.9217613880321
-0.0422875,-170.9217613880321
-0.042275,-170.9217613880321
-0.0422625,-170.7944081685045
-0.04225,-170.7307315587407
-0.0422375,-170.7307315587407
-0.042225,-170.6670549489769
-0.0422125,-170.6670549489769
-0.0422,-170.5397017294493
-0.0421875,-170.6033783392131
-0.042175,-170.6033783392131
-0.0421625,-170.6033783392131
-0.04215,-170.6033783392131
-0.0421375,-170.6670549489769
-0.042125,-170.5397017294493
-0.0421125,-170.4760251196855
-0.0421,-170.4123485099217
-0.0420875,-170.3486719001579
-0.042075,-170.2213186806302
-0.0420625,-170.2213186806302
-0.04205,-170.0939654611026
-0.0420375,-169.966612241575
-0.042025,-169.9029356318112
-0.0420125,-169.9029356318112
-0.042,-169.7119058025198
-0.0419875,-169.7119058025198
-0.041975,-169.648229192756
-0.0419625,-169.5845525829922
-0.04195,-169.5208759732284
-0.0419375,-169.5208759732284
-0.041925,-169.3935227537007
-0.0419125,-169.3298461439369
-0.0419,-169.2661695341731
-0.0418875,-169.1388163146455
-0.041875,-169.0114630951179
-0.0418625,-168.9477864853541
-0.04185,-168.7567566560626
-0.0418375,-168.629403436535
-0.041825,-168.3746969974798
-0.0418125,-168.2473437779522
-0.0418,-168.1199905584245
-0.0417875,-167.9926373388969
-0.041775,-167.8016075096055
-0.0417625,-167.7379308998417
-0.04175,-167.5469010705503
-0.0417375,-167.4195478510227
-0.041725,-167.2285180217312
-0.0417125,-167.0374881924398
-0.0417,-166.8464583631484
-0.0416875,-166.5280753143293
-0.041675,-166.2733688752741
-0.0416625,-165.9549858264551
-0.04165,-165.636602777636
-0.0416375,-165.2545431190532
-0.041625,-164.8724834604703
-0.0416125,-164.2993939725961
-0.0416,-163.7899810944856
-0.0415875,-163.2168916066113
-0.041575,-162.643802118737
-0.0415625,-162.0707126308627
-0.04155,-161.3702699234609
-0.0415375,-160.8608570453504
-0.041525,-160.2877675574761
-0.0415125,-159.651001459838
-0.0415,-159.0142353621999
-0.0414875,-158.313792654798
-0.041475,-157.4223201181047
-0.0414625,-156.4671709716476
-0.04145,-155.5120218251904
-0.0414375,-154.5568726787333
-0.041425,-153.5380469225124
-0.0414125,-152.6465743858191
-0.0414,-151.7551018491257
-0.0413875,-150.9273059221962
-0.041375,-150.0995099952667
-0.0413625,-149.2080374585734
-0.04135,-148.3165649218801
-0.0413375,-147.4250923851868
-0.041325,-146.4699432387296
-0.0413125,-145.4511174825087
-0.0413,-144.4959683360516
-0.0412875,-143.6044957993582
-0.041275,-142.6493466529011
-0.0412625,-141.7578741162078
-0.04125,-140.8664015795144
-0.0412375,-140.1022822623488
-0.041225,-139.2744863354192
-0.0412125,-138.5740436280173
-0.0412,-137.8099243108517
-0.0411875,-137.0458049936859
-0.041175,-136.2816856765202
-0.0411625,-135.5175663593545
-0.04115,-134.689770432425
-0.0411375,-133.9893277250231
-0.041125,-133.2252084078574
-0.0411125,-132.715795529747
-0.0411,-132.1427060418727
-0.0410875,-131.6332931637622
-0.041075,-131.0602036758879
-0.0410625,-130.4234375782499
-0.04105,-129.7866714806117
-0.0410375,-129.1499053829737
-0.041025,-128.5131392853356
-0.0410125,-127.8126965779337
-0.041,-127.2396070900594
-0.0409875,-126.8575474314766
-0.040975,-126.3481345533661
-0.0409625,-125.9023982850194
-0.04095,-125.3293087971451
-0.0409375,-124.8835725287985
-0.040925,-124.374159650688
-0.0409125,-123.9284233823414
-0.0409,-123.3553338944671
-0.0408875,-122.9095976261204
-0.040875,-122.4001847480099
-0.0408625,-122.0181250894271
-0.04085,-121.4450356015528
-0.0408375,-120.8082695039147
-0.040825,-120.2351800160405
-0.0408125,-119.72576713793
-0.0408,-119.0890010402919
-0.0407875,-118.5159115524176
-0.040775,-117.8791454547795
-0.0407625,-117.4334091864329
-0.04075,-117.05134952785
-0.0407375,-116.5419366497396
-0.040725,-115.9051705521015
-0.0407125,-115.2684044544634
-0.0407,-114.6953149665891
-0.0406875,-113.9948722591872
-0.040675,-113.2944295517853
-0.0406625,-112.5939868443834
-0.04065,-111.9572207467453
-0.0406375,-111.4478078686349
-0.040625,-110.6836885514692
-0.0406125,-110.0469224538311
-0.0406,-109.2828031366654
-0.0405875,-108.5823604292635
