v1	V(n002)*I(V1)	I(V1)
2.969999999999988e-002	2.256460e-002	7.597507e-001
2.979999999999988e-002	2.264051e-002	7.597488e-001
2.989999999999988e-002	2.271643e-002	7.597469e-001
2.999999999999987e-002	2.279235e-002	7.597450e-001
3.009999999999987e-002	2.286827e-002	7.597431e-001
3.019999999999987e-002	2.294418e-002	7.597412e-001
3.029999999999987e-002	2.302010e-002	7.597393e-001
3.039999999999987e-002	2.309602e-002	7.597374e-001
3.049999999999987e-002	2.317193e-002	7.597355e-001
3.059999999999987e-002	2.324785e-002	7.597336e-001
3.069999999999987e-002	2.332376e-002	7.597317e-001
3.079999999999987e-002	2.339968e-002	7.597297e-001
3.089999999999987e-002	2.347559e-002	7.597278e-001
3.099999999999987e-002	2.355150e-002	7.597259e-001
3.109999999999987e-002	2.362742e-002	7.597240e-001
3.119999999999987e-002	2.370333e-002	7.597221e-001
3.129999999999987e-002	2.377924e-002	7.597202e-001
3.139999999999987e-002	2.385515e-002	7.597183e-001
3.149999999999988e-002	2.393107e-002	7.597164e-001
3.159999999999988e-002	2.400698e-002	7.597145e-001
3.169999999999988e-002	2.408289e-002	7.597126e-001
3.179999999999988e-002	2.415880e-002	7.597107e-001
3.189999999999989e-002	2.423471e-002	7.597088e-001
3.199999999999989e-002	2.431062e-002	7.597069e-001
3.209999999999989e-002	2.438653e-002	7.597049e-001
3.219999999999990e-002	2.446244e-002	7.597030e-001
3.229999999999990e-002	2.453835e-002	7.597011e-001
3.239999999999990e-002	2.461426e-002	7.596992e-001
3.249999999999990e-002	2.469016e-002	7.596973e-001
3.259999999999991e-002	2.476607e-002	7.596954e-001
3.269999999999991e-002	2.484198e-002	7.596935e-001
3.279999999999991e-002	2.491788e-002	7.596916e-001
3.289999999999992e-002	2.499379e-002	7.596897e-001
3.299999999999992e-002	2.506970e-002	7.596878e-001
3.309999999999992e-002	2.514560e-002	7.596859e-001
3.319999999999992e-002	2.522151e-002	7.596840e-001
3.329999999999993e-002	2.529742e-002	7.596821e-001
3.339999999999993e-002	2.537332e-002	7.596802e-001
3.349999999999993e-002	2.544922e-002	7.596783e-001
3.359999999999994e-002	2.552513e-002	7.596764e-001
3.369999999999994e-002	2.560103e-002	7.596745e-001
3.379999999999994e-002	2.567693e-002	7.596726e-001
3.389999999999994e-002	2.575284e-002	7.596707e-001
3.399999999999995e-002	2.582874e-002	7.596688e-001
3.409999999999995e-002	2.590464e-002	7.596669e-001
3.419999999999995e-002	2.598054e-002	7.596650e-001
3.429999999999996e-002	2.605644e-002	7.596630e-001
3.439999999999996e-002	2.613234e-002	7.596611e-001
3.449999999999996e-002	2.620824e-002	7.596592e-001
3.459999999999996e-002	2.628414e-002	7.596573e-001
3.469999999999997e-002	2.636004e-002	7.596554e-001
3.479999999999997e-002	2.643594e-002	7.596535e-001
3.489999999999997e-002	2.651184e-002	7.596516e-001
3.499999999999998e-002	2.658774e-002	7.596497e-001
3.509999999999998e-002	2.666364e-002	7.596478e-001
3.519999999999998e-002	2.673953e-002	7.596459e-001
3.529999999999998e-002	2.681543e-002	7.596440e-001
3.539999999999999e-002	2.689133e-002	7.596421e-001
3.549999999999999e-002	2.696723e-002	7.596402e-001
3.559999999999999e-002	2.704312e-002	7.596382e-001
3.570000000000000e-002	2.711902e-002	7.596363e-001
3.580000000000000e-002	2.719491e-002	7.596344e-001
3.590000000000000e-002	2.727081e-002	7.596325e-001
3.600000000000000e-002	2.734670e-002	7.596306e-001
3.610000000000001e-002	2.742260e-002	7.596287e-001
3.620000000000001e-002	2.749849e-002	7.596268e-001
3.630000000000001e-002	2.757438e-002	7.596249e-001
3.640000000000002e-002	2.765028e-002	7.596230e-001
3.650000000000002e-002	2.772617e-002	7.596211e-001
3.660000000000002e-002	2.780206e-002	7.596192e-001
3.670000000000002e-002	2.787795e-002	7.596173e-001
3.680000000000003e-002	2.795385e-002	7.596154e-001
3.690000000000003e-002	2.802974e-002	7.596135e-001
3.700000000000003e-002	2.810563e-002	7.596115e-001
3.710000000000004e-002	2.818152e-002	7.596096e-001
3.720000000000004e-002	2.825741e-002	7.596077e-001
3.730000000000004e-002	2.833330e-002	7.596058e-001
3.740000000000004e-002	2.840919e-002	7.596039e-001
3.750000000000005e-002	2.848508e-002	7.596020e-001
3.760000000000005e-002	2.856096e-002	7.596001e-001
3.770000000000005e-002	2.863685e-002	7.595982e-001
3.780000000000006e-002	2.871274e-002	7.595963e-001
3.790000000000006e-002	2.878863e-002	7.595944e-001
3.800000000000006e-002	2.886451e-002	7.595925e-001
3.810000000000006e-002	2.894040e-002	7.595906e-001
3.820000000000007e-002	2.901629e-002	7.595887e-001
3.830000000000007e-002	2.909217e-002	7.595868e-001
3.840000000000007e-002	2.916806e-002	7.595848e-001
3.850000000000008e-002	2.924394e-002	7.595829e-001
3.860000000000008e-002	2.931983e-002	7.595810e-001
3.870000000000008e-002	2.939571e-002	7.595791e-001
3.880000000000008e-002	2.947160e-002	7.595772e-001
3.890000000000009e-002	2.954748e-002	7.595753e-001
3.900000000000009e-002	2.962336e-002	7.595734e-001
3.910000000000009e-002	2.969924e-002	7.595715e-001
3.920000000000010e-002	2.977513e-002	7.595696e-001
3.930000000000010e-002	2.985101e-002	7.595677e-001
3.940000000000010e-002	2.992689e-002	7.595658e-001
3.950000000000010e-002	3.000277e-002	7.595639e-001
3.960000000000011e-002	3.007865e-002	7.595620e-001
3.970000000000011e-002	3.015454e-002	7.595600e-001
3.980000000000011e-002	3.023041e-002	7.595581e-001
3.990000000000012e-002	3.030629e-002	7.595562e-001
4.000000000000012e-002	3.038217e-002	7.595543e-001
4.010000000000012e-002	3.045805e-002	7.595524e-001
4.020000000000013e-002	3.053393e-002	7.595505e-001
